FROM	TO	BAYES_FACTOR	POSTERIOR PROBABILITY
Arkansas	California	0.704447399921619	0.0414398400177758
Arkansas	Georgia	0.9179109426014802	0.05332740806577047
Arkansas	Illinois	1.1119781792953967	0.06388179091212087
Arkansas	Indiana	1.1617000828181832	0.0665481613154094
Arkansas	Iowa	0.9098345824896952	0.05288301299855572
Arkansas	Kansas	0.7024773826605735	0.04132874125097211
Arkansas	Michigan	0.7498841710718709	0.043995111654260635
Arkansas	Minnesota	0.8234899695684093	0.04810576602599711
Arkansas	Missouri	0.8214922660423025	0.04799466725919342
Arkansas	Nebraska	0.7538466761786272	0.044217309187868016
Arkansas	North_Carolina	0.849502614769778	0.04955004999444506
Arkansas	Ohio	0.7479036091712536	0.04388401288745695
Arkansas	Oklahoma	0.7776604509035514	0.045550494389512274
Arkansas	Pennsylvania	0.7399859621771485	0.04343961782024219
Arkansas	South_Carolina	0.8254881394662976	0.0482168647928008
Arkansas	South_Dakota	0.7617772161120235	0.04466170425508277
Arkansas	Virginia	1.2494003613343607	0.07121430952116431
California	Georgia	0.8075213860654163	0.047216975891567606
California	Illinois	1.2872565318361036	0.0732140873236307
California	Indiana	1.1409481431742718	0.06543717364737252
California	Iowa	0.9624668120851032	0.05577158093545161
California	Kansas	0.8635421958557477	0.05032774136207088
California	Michigan	0.89571917427393	0.052105321630929895
California	Minnesota	1.17209458777737	0.06710365514942784
California	Missouri	1.0687032883017136	0.06154871680924342
California	Nebraska	1.1119781792953967	0.06388179091212087
California	North_Carolina	1.089283512118167	0.06265970447728031
California	Ohio	0.9300397100623666	0.0539940006665926
California	Oklahoma	0.9848313599096764	0.05699366737029219
California	Pennsylvania	1.0666479456367108	0.06143761804243973
California	South_Carolina	0.9848313599096764	0.05699366737029219
California	South_Dakota	1.1057828501727478	0.0635484946117098
California	Virginia	1.195006129330863	0.06832574158426842
Georgia	Illinois	1.859615631276161	0.10243306299300078
Georgia	Indiana	0.8394884008910339	0.04899455616042662
Georgia	Iowa	0.9401600809529086	0.05454949450061104
Georgia	Kansas	1.101655080182044	0.06332629707810243
Georgia	Michigan	1.033828513706131	0.05966003777358071
Georgia	Minnesota	1.1908359248303926	0.06810354405066103
Georgia	Missouri	0.8876636209843733	0.05166092656371514
Georgia	Nebraska	1.7390770664718482	0.0964337295856016
Georgia	North_Carolina	1.174174974405933	0.06721475391623152
Georgia	Ohio	0.8434926822526913	0.049216753694034
Georgia	Oklahoma	1.0666479456367108	0.06143761804243973
