FROM	TO	BAYES_FACTOR	POSTERIOR PROBABILITY
Alabama	Arkansas	0.8022430106299125	0.0443284079546717
Alabama	Illinois	0.8380800752651633	0.04621708699033441
Alabama	Indiana	0.6934977694325837	0.038551272080879904
Alabama	Iowa	0.6810342781626499	0.03788467948005777
Alabama	Kansas	0.8127686112119769	0.044883901788690145
Alabama	Michigan	0.6914193208595502	0.03844017331407621
Alabama	Minnesota	0.6189749838876177	0.03455171647594712
Alabama	Mississippi	0.7581687823500987	0.04199533385179424
Alabama	Missouri	0.6561590352083128	0.03655149427841351
Alabama	Nebraska	0.6706612205121396	0.03732918564603933
Alabama	North_Carolina	0.6603001271726449	0.036773691812020885
Alabama	Ohio	0.7101426664019144	0.03944006221530941
Alabama	Oklahoma	0.7414350148492097	0.04110654371736474
Alabama	Pennsylvania	0.8613444911457097	0.04743917342517498
Alabama	South_Carolina	1.2905529660765653	0.0694367292523053
Alabama	South_Dakota	0.5450671009967014	0.030552160871014332
Alabama	Virginia	0.726818394391332	0.04032885234973892
Alabama	Wyoming	0.7456155478530387	0.04132874125097211
Arkansas	Illinois	0.9421738171309558	0.05166092656371514
Arkansas	Indiana	0.5983836624921474	0.033440728807910235
Arkansas	Iowa	1.1452464248123642	0.06210421064326186
Arkansas	Kansas	0.6706612205121396	0.03732918564603933
Arkansas	Michigan	0.7539824302544416	0.04177313631818687
Arkansas	Minnesota	1.0496310905654516	0.057215864903899565
Arkansas	Mississippi	0.7477065411513725	0.0414398400177758
Arkansas	Missouri	0.6396137507240915	0.035662704143984
Arkansas	Nebraska	0.8825458212733572	0.04855016109321186
Arkansas	North_Carolina	25.15791155640465	0.5926008221308744
Arkansas	Ohio	0.6004406642501268	0.03355182757471392
Arkansas	Oklahoma	0.7644519529113013	0.04232863015220531
Arkansas	Pennsylvania	0.950724050814642	0.052105321630929895
Arkansas	South_Carolina	1.4517034943677354	0.07743584046217088
Arkansas	South_Dakota	1.2198164195637269	0.06588156871458727
Arkansas	Virginia	6.497367666355192	0.27308076880346627
Arkansas	Wyoming	0.7686431635362916	0.04255082768581269
Illinois	Indiana	8176.2080593789315	0.9978891234307299
Illinois	Iowa	234.2014028273009	0.9312298633485169
Illinois	Kansas	0.34492957902665367	0.019553382957449173
Illinois	Michigan	570.16326931766	0.9705588267970225
Illinois	Minnesota	5.86723436345655	0.2533051883124097
Illinois	Mississippi	4.123975995334005	0.19253416287079214
Illinois	Missouri	0.4333224483131504	0.024441728696811466
Illinois	Nebraska	0.40308916543715295	0.022775247194756137
Illinois	North_Carolina	6.614303767336434	0.2766359293411843
Illinois	Ohio	16.687622323806792	0.4910565492723031
Illinois	Oklahoma	1.1430622816103053	0.06199311187645817
Illinois	Pennsylvania	19.96555149385306	0.5358293522941895
Illinois	South_Carolina	2.5739021593848372	0.12954116209310076
Illinois	South_Dakota	6.5593471819912565	0.27496944783912897
Illinois	Virginia	6.299033879403241	0.2669703366292634
Illinois	Wyoming	1.3439610913531406	0.07210309965559382
Indiana	Iowa	1.1561749071253808	0.06265970447728031
Indiana	Kansas	1.077777718013768	0.058660148872347516
Indiana	Michigan	1.1365129552149291	0.061659815576047106
Indiana	Minnesota	0.8995425678385233	0.04943895122764137
Indiana	Mississippi	0.925097367273931	0.05077213642928564
Indiana	Missouri	1.1649270235903622	0.06310409954449506
Indiana	Nebraska	0.9443106242132409	0.051772025330518834
Indiana	North_Carolina	1.2286290283451338	0.06632596378180203
Indiana	Ohio	0.6066145080729495	0.03388512387512499
Indiana	Oklahoma	0.9144408156319578	0.050216642595267195
Indiana	Pennsylvania	1.5151303899075013	0.08054660593267415
Indiana	South_Carolina	2.698947042853662	0.1349850016664815
Indiana	South_Dakota	0.9764229221963129	0.05343850683257416
Indiana	Virginia	1.3172187158559745	0.07076991445394956
Indiana	Wyoming	0.9935957582417716	0.05432729696700367
Iowa	Kansas	1.2661763947687399	0.06821464281746473
Iowa	Michigan	0.33893487891025187	0.019220086657038105
Iowa	Minnesota	1465.338498190543	0.9883346294856127
Iowa	Mississippi	0.9571419891477361	0.05243861793134096
Iowa	Missouri	2238.8866579230958	0.9923341850905455
Iowa	Nebraska	11.619192373204127	0.4018442395289412
Iowa	North_Carolina	0.28715097929017835	0.016331518720142206
Iowa	Ohio	22.056539309710875	0.5604932785246084
Iowa	Oklahoma	14.488226297998054	0.4558382401955338
Iowa	Pennsylvania	3.291217666333916	0.15987112543050772
Iowa	South_Carolina	0.7101426664019144	0.03944006221530941
Iowa	South_Dakota	1524.056675331968	0.9887790245528275
Iowa	Virginia	1.116892861983885	0.06065992667481391
Iowa	Wyoming	5.716582597644333	0.24841684257304744
