Time	Mean	Median	Upper	Lower
2018.6931506849314	5.534811870112322	5.180596700225048	10.797208121752384	2.410539050837854
2018.5800966773922	5.702313631192411	5.429493662375502	10.07162095619448	2.999718883240982
2018.467042669853	5.886419560398921	5.662576777759965	9.633631062270782	3.398247707105174
2018.353988662314	6.085272423759599	5.8805123744877825	9.773685107398384	3.616086477880373
2018.2409346547747	6.710563396404427	6.510363356095893	10.3314051173536	4.106086968287388
2018.1278806472355	7.673783157720782	7.441851932915744	11.949398559927888	4.80937276530044
2018.0148266396964	8.468839729950373	8.237980549719117	13.05481709703799	5.29659279357403
2017.9017726321572	9.130464228806987	8.859728089637123	13.892178938758372	5.712065336475768
2017.788718624618	9.881666130042074	9.608570614944673	14.915755539502099	6.162222029485199
2017.6756646170788	11.183042933046684	10.93818384373212	16.934022996484256	7.0102420041063445
2017.5626106095397	13.77892043525101	13.337573061824253	21.18290381504572	8.730609110994182
2017.4495566020005	17.185733261062115	16.607897042449405	26.873555747328673	10.801457661979006
2017.3365025944613	20.150638571386036	19.434923520308125	32.18483113215226	12.551721685347173
2017.2234485869221	22.40018336996405	21.614819818452766	35.87194639820914	14.002732586825928
2017.110394579383	23.32851428575595	22.561376444026372	36.37968177051982	14.835740035000505
2016.9973405718438	23.666130863164934	22.943637407905758	36.54520572674761	15.365257502506974
2016.8842865643046	24.49655719938056	23.845417095986303	36.9098685089144	15.843588481080406
2016.7712325567654	25.896972608079622	25.158984522297537	39.45093235390987	16.70496907547011
2016.6581785492262	26.25737675264738	25.460975930159165	39.57387605005802	17.04720213184207
2016.545124541687	24.788745769189656	24.14476837723668	37.0819110774421	16.014043631103885
2016.432070534148	23.329337283211924	22.760733052419045	34.766749383762836	15.17664371622363
2016.3190165266087	23.141726744537223	22.618497454329	34.29506627503564	15.106585160672061
2016.2059625190695	22.615773405839906	22.120822272652138	33.29381737230494	14.939696883436413
2016.0929085115304	22.31351914021075	21.954049107063216	32.23979133700035	14.920865807117405
2015.9798545039912	22.61084074698456	22.11784542238735	33.31110167719327	15.145131473247735
2015.866800496452	23.078808231355325	22.566634693609277	33.77962092343512	15.372855394686246
2015.7537464889128	22.992427952919964	22.45101079309291	33.76171013166669	15.258345058505432
2015.6406924813737	22.308195187240887	21.80051673548582	32.66765329986388	14.829948281265207
2015.5276384738345	22.060914957968116	21.537952557658855	32.183609262805284	14.799268008744713
2015.4145844662953	20.732565746410724	20.244440882988155	30.588385883010808	13.655810127494675
2015.3015304587561	18.758055317398448	18.311473771265145	27.8327681379932	12.264205993181934
2015.188476451217	16.60741577814168	16.21935591167698	24.566262958557285	10.762716084971252
2015.0754224436778	15.411583391598459	15.10954996460842	22.51044342922655	9.996711615676569
2014.9623684361386	15.71287420980759	15.298183598630269	23.354424758827513	10.254999955288792
2014.8493144285994	16.033488820688433	15.61389517196743	23.96247164119849	10.501586695044768
2014.7362604210603	16.022006280612374	15.634801342639465	24.06879030615296	10.337189812172786
2014.623206413521	16.17595468449197	15.703154798359416	24.522717094380756	10.386728643177063
2014.510152405982	15.32518512737928	14.855014469237044	23.474415867749567	9.827586984921016
2014.3970983984427	14.47088966947269	13.997222404595425	22.760258958237145	9.028044300338014
2014.2840443909035	13.307912798453508	12.833853296175008	21.3982363143605	8.086490534451087
2014.1709903833644	11.83294874789621	11.401951470708884	19.123813381232782	7.126324849749418
2014.0579363758252	10.173065144701823	9.849141072124711	16.313653425090255	5.985870906942719
2013.944882368286	8.394985316990468	8.112794019689487	13.610050846587601	4.8615277617283
2013.8318283607468	6.787086878362591	6.530476412184641	11.255164470811962	3.7232337904784836
2013.7187743532077	5.6387221869345865	5.431196086923887	9.474261723260982	3.0008419245800866
2013.6057203456685	5.176480286712638	4.96985214759866	8.743496099214095	2.7597763027362365
2013.4926663381293	5.219526577642225	5.02391367172931	8.869597121028649	2.767798085597327
2013.3796123305901	5.520211582606971	5.269575387446394	9.639551874016016	2.9570808702644897
2013.266558323051	5.778591810090792	5.49483489125592	10.092995676612746	3.103278755817105
2013.1535043155118	5.703943353879229	5.43750249738611	9.955479039855922	2.9796884115254056
2013.0404503079726	5.449154738250159	5.212905804449471	9.569417485491893	2.787903984903126
2012.9273963004334	5.227051573504056	4.986737914059501	9.140759690549515	2.679112281580397
2012.8143422928943	5.0939927727700205	4.847193752345247	8.946515835807485	2.5859510874189233
2012.701288285355	5.15329001617062	4.9083795101560845	9.143176997433988	2.5671609961612583
2012.588234277816	5.438638746808063	5.1331450520377855	9.900772818646612	2.689412387322554
2012.4751802702767	6.024255110281511	5.669127879740003	11.20230917344847	2.853966686733895
2012.3621262627375	6.963344757198096	6.457049434447428	13.483979749343455	3.2091603301111835
2012.2490722551984	8.104333835270937	7.467913191313192	16.152345114230524	3.6724422027403874
2012.1360182476592	9.110666334331356	8.414243303824703	18.43321654643717	4.117227802546257
2012.02296424012	9.99460039675035	9.232475776514441	20.186332530047846	4.50952168834654
2011.9099102325808	10.988860911512207	10.037161019117615	22.557711369047823	4.919566160265145
2011.7968562250417	12.313705217281912	11.239768706760005	25.33635406506878	5.6997085651729185
2011.6838022175025	13.431593496760525	12.269916566562966	27.037103821813268	6.388851997156117
2011.5707482099633	13.986450552591823	12.840371360418713	27.867016789021026	6.697091100985318
2011.4576942024241	14.130363225743007	13.076854835606307	27.34350966432165	6.8885979353355395
2011.344640194885	14.07807496443287	13.12938610835514	26.92880283587362	6.9074133293747995
2011.2315861873458	13.862191091770681	12.909129358632043	26.283904485289337	6.878997791465235
